POS Tag,Precision,Recall,F1-score,Support
NOUN,0.9176205667104522,0.9741035856573705,0.9450188424002319,5020
PUNCT,0.9863592075349139,0.9902184545158135,0.9882850634559063,3067
VERB,0.9600706713780919,0.96484375,0.9624512929507616,2816
PROPN,0.968623935454953,0.8321139776665383,0.8951946975973488,2597
ADP,0.9788169464428457,0.9863068868304471,0.9825476429287864,2483
DET,0.9878447872837774,0.9860009332711153,0.9869219990658571,2143
ADJ,0.9268817204301075,0.896049896049896,0.9112050739957717,1924
AUX,0.9524375743162902,0.949614700652045,0.9510240427426536,1687
PRON,0.9924717691342535,0.9687691365584813,0.9804772234273319,1633
ADV,0.9177631578947368,0.9401853411962932,0.9288389513108615,1187
PART,0.8946840521564694,0.9812981298129813,0.9359916054564533,909
CCONJ,0.9952380952380953,1.0,0.9976133651551312,836
NUM,0.9443339960238568,0.9753593429158111,0.9595959595959596,487
_,0.9873684210526316,0.989451476793249,0.9884088514225501,474
SCONJ,0.9447674418604651,0.9447674418604651,0.9447674418604651,344
INTJ,0.9239766081871345,0.8102564102564103,0.8633879781420765,195
X,0.5802469135802469,0.7014925373134329,0.6351351351351351,67
SYM,0.9117647058823529,0.8157894736842105,0.8611111111111112,38
